order_id,customer_id,order_date,status,total_amount
ord_001,cust_0115,2024-11-23,delivered,149.97
ord_002,cust_0251,2024-05-20,shipped,460.13
ord_003,cust_0755,2024-03-12,delivered,50.0
ord_004,cust_0759,2024-12-12,cancelled,49.99
ord_005,cust_0605,2024-02-14,returned,117.95
ord_006,cust_0031,2024-01-17,delivered,299.96
ord_007,cust_0239,2024-04-21,cancelled,244.96
ord_008,cust_0028,2024-11-04,cancelled,379.99
ord_009,cust_0734,2024-04-11,cancelled,135.0
ord_010,cust_0226,2024-08-02,returned,437.99
ord_011,cust_0285,2024-10-28,delivered,157.0
ord_012,cust_0715,2024-03-22,returned,29.98
ord_013,cust_0285,2024-06-23,shipped,604.93
ord_014,cust_0981,2024-04-20,processing,36.0
ord_015,cust_0095,2024-02-22,returned,572.97
ord_016,cust_0368,2024-02-19,processing,87.98
ord_017,cust_0271,2024-11-05,delivered,268.47
ord_018,cust_0550,2024-08-23,delivered,437.52
ord_019,cust_0081,2024-07-12,cancelled,702.95
ord_020,cust_0850,2024-05-30,cancelled,679.0
ord_021,cust_0592,2024-07-04,shipped,168.06
ord_022,cust_0072,2024-12-26,delivered,387.0
ord_023,cust_0234,2024-12-04,processing,667.12
ord_024,cust_0876,2024-02-10,shipped,605.95
ord_025,cust_0390,2024-02-21,processing,249.95
ord_026,cust_0651,2024-08-20,processing,89.94
ord_027,cust_0380,2024-03-24,processing,889.5
ord_028,cust_0687,2024-04-17,processing,54.0
ord_029,cust_0960,2024-12-25,delivered,304.93
ord_030,cust_0651,2024-11-07,shipped,312.0
ord_031,cust_0747,2024-09-30,shipped,110.0
ord_032,cust_0474,2024-03-24,returned,843.5
ord_033,cust_0948,2024-05-18,cancelled,708.69
ord_034,cust_0702,2024-04-22,processing,318.54
ord_035,cust_0235,2024-01-29,delivered,74.99
ord_036,cust_0411,2024-06-10,processing,19.99
ord_037,cust_0217,2024-02-03,cancelled,67.99
ord_038,cust_0218,2024-06-10,returned,499.91
ord_039,cust_0906,2024-07-21,returned,250.5
ord_040,cust_0272,2024-03-14,shipped,219.03
ord_041,cust_0763,2024-05-06,cancelled,555.47
ord_042,cust_0270,2024-10-02,cancelled,576.0
ord_043,cust_0920,2024-08-07,cancelled,219.95
ord_044,cust_0371,2024-07-23,shipped,592.47
ord_045,cust_0522,2024-03-11,returned,819.95
ord_046,cust_0774,2024-02-16,delivered,637.92
ord_047,cust_0157,2024-02-26,shipped,390.99
ord_048,cust_0433,2024-12-14,cancelled,447.5
ord_049,cust_0395,2024-02-02,returned,488.94
ord_050,cust_0480,2024-11-01,cancelled,79.96
ord_051,cust_0995,2024-05-08,cancelled,25.0
ord_052,cust_0697,2024-01-06,delivered,18.0
ord_053,cust_0907,2024-12-15,cancelled,418.43
ord_054,cust_0788,2024-05-16,processing,157.93
ord_055,cust_0301,2024-02-27,returned,153.8
ord_056,cust_0465,2024-03-21,delivered,390.0
ord_057,cust_0996,2024-05-14,cancelled,386.97
ord_058,cust_0520,2024-04-01,delivered,59.97
ord_059,cust_0306,2024-11-16,cancelled,753.0
ord_060,cust_0204,2024-11-07,shipped,165.0
ord_061,cust_0781,2024-07-10,shipped,267.0
ord_062,cust_0977,2024-10-03,cancelled,420.15
ord_063,cust_0614,2024-01-01,processing,185.97
ord_064,cust_0020,2024-09-07,delivered,389.92
ord_065,cust_0900,2024-07-04,processing,45.0
ord_066,cust_0060,2024-05-02,shipped,149.97
ord_067,cust_0970,2024-10-17,delivered,253.78
ord_068,cust_0750,2024-02-13,returned,852.53
ord_069,cust_0779,2024-02-05,cancelled,298.5
ord_070,cust_0132,2024-03-05,returned,640.57
ord_071,cust_0170,2024-10-08,processing,673.96
ord_072,cust_0894,2024-09-27,cancelled,466.1
ord_073,cust_0988,2024-08-04,shipped,188.0
ord_074,cust_0774,2024-10-03,shipped,112.26
ord_075,cust_0320,2024-12-31,returned,174.95
ord_076,cust_0666,2024-12-09,processing,583.95
ord_077,cust_0922,2024-08-12,cancelled,187.47
ord_078,cust_0124,2024-08-19,shipped,420.15
ord_079,cust_0066,2024-04-25,processing,374.94
ord_080,cust_0603,2024-01-11,cancelled,64.99
ord_081,cust_0603,2024-04-27,shipped,414.0
ord_082,cust_0073,2024-01-04,delivered,417.06
ord_083,cust_0070,2024-04-27,delivered,910.45
ord_084,cust_0073,2024-06-18,cancelled,294.9
ord_085,cust_0286,2024-05-01,returned,757.45
ord_086,cust_0553,2024-04-19,shipped,384.45
ord_087,cust_0591,2024-10-19,returned,307.98
ord_088,cust_0804,2024-05-04,returned,266.0
ord_089,cust_0195,2024-07-27,delivered,742.47
ord_090,cust_0675,2024-02-19,returned,682.81
ord_091,cust_0434,2024-06-30,returned,533.76
